ClienteID,Ciudad,Estado,Pais,Tipo_Cliente
5178,MIC10,10,1,ENTREGA DOMICILIO
5179,JA22,3,1,ENTREGA DOMICILIO
5180,JA03,3,1,ENTREGA DOMICILIO
5181,MIC14,10,1,ENTREGA DOMICILIO
5182,VER12,11,1,ENTREGA DOMICILIO
5183,TAB03,25,1,ENTREGA DOMICILIO
5184,CHP04,6,1,ENTREGA DOMICILIO
5185,MIC22,10,1,ENTREGA DOMICILIO
5186,CHP06,6,1,ENTREGA DOMICILIO
5187,PUE06,18,1,ENTREGA DOMICILIO
5188,VER09,11,1,ENTREGA DOMICILIO
5189,ZAC01,32,1,ENTREGA DOMICILIO
5190,GR01,8,1,ENTREGA DOMICILIO
5191,GTO06,12,1,EMBARQUE
5192,PUE03,18,1,ENTREGA DOMICILIO
5193,MIC04,10,1,ENTREGA DOMICILIO
5194,MIC17,10,1,ENTREGA DOMICILIO
5195,SON03,15,1,ENTREGA DOMICILIO
5196,SON03,15,1,EMBARQUE
5197,EM09,2,1,ENTREGA DOMICILIO
5198,TAM05,23,1,ENTREGA DOMICILIO
5199,DUR02,30,1,EMBARQUE
5200,TAM05,23,1,ENTREGA DOMICILIO
5201,JA17,3,1,ENTREGA DOMICILIO
5202,JA22,3,1,ENTREGA DOMICILIO
5203,OA05,7,1,ENTREGA DOMICILIO
5204,JA02,3,1,ENTREGA DOMICILIO
5205,CHP04,6,1,ENTREGA DOMICILIO
5206,TAB03,25,1,ENTREGA DOMICILIO
5207,NL02,4,1,ENTREGA DOMICILIO
5208,MIC13,10,1,ENTREGA DOMICILIO
5209,JA21,3,1,ENTREGA DOMICILIO
5210,GTO06,12,1,ENTREGA DOMICILIO
5211,VER20,11,1,ENTREGA DOMICILIO
5212,SIN01,20,1,ENTREGA DOMICILIO
5213,OA02,7,1,ENTREGA DOMICILIO
5214,JA05,3,1,EMBARQUE
5215,PUE03,18,1,ENTREGA DOMICILIO
5216,TAM02,23,1,ENTREGA DOMICILIO
5217,NL03,4,1,ENTREGA DOMICILIO
5218,TAM09,23,1,ENTREGA DOMICILIO
5218A,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO
5219,TAM03,23,1,ENTREGA DOMICILIO
5220,JA13,3,1,ENTREGA DOMICILIO
5221,CHP06,6,1,ENTREGA DOMICILIO
5222,CHP06,6,1,ENTREGA DOMICILIO
5223,NL03,4,1,ENTREGA DOMICILIO
5224,GTO13,12,1,ENTREGA DOMICILIO
5225,TAM04,23,1,ENTREGA DOMICILIO
5226,YUC03,16,1,ENTREGA DOMICILIO
5227,JA13,3,1,ENTREGA DOMICILIO
5228,BCS02,21,1,EMBARQUE
5229,DF01,1,1,EMBARQUE
5230,ZAC06,32,1,ENTREGA DOMICILIO
5231,COA05,27,1,ENTREGA DOMICILIO
5232,CHI04,29,1,ENTREGA DOMICILIO
5233,DUR04,30,1,ENTREGA DOMICILIO
5234,AGS01,28,1,ENTREGA DOMICILIO
5235,GTO05,12,1,EMBARQUE
5236,DF01,1,1,ENTREGA DOMICILIO
5237,GR04,8,1,ENTREGA DOMICILIO
5238,SIN01,20,1,ENTREGA DOMICILIO
5239,OA06,7,1,ENTREGA DOMICILIO
5240,SIN06,20,1,EMBARQUE
5241,CHP06,6,1,ENTREGA DOMICILIO
5242,TAM03,23,1,EMBARQUE
5243,NL04,4,1,ENTREGA DOMICILIO
5244,SON05,15,1,ENTREGA DOMICILIO
5245,VER19,11,1,ENTREGA DOMICILIO
5246,VER19,11,1,ENTREGA DOMICILIO
5247,GR01,8,1,ENTREGA DOMICILIO
5248,VER17,11,1,ENTREGA DOMICILIO
5249,SIN01,20,1,ENTREGA DOMICILIO
5250,SIN01,20,1,ENTREGA DOMICILIO
5251,NL03,4,1,ENTREGA DOMICILIO
5252,GR01,8,1,ENTREGA DOMICILIO
5253,DF01,1,1,ENTREGA DOMICILIO
5254,PUE05,18,1,ENTREGA DOMICILIO
5255,JA16,3,1,ENTREGA DOMICILIO
5256,CHP04,6,1,ENTREGA DOMICILIO
5257,GR01,8,1,ENTREGA DOMICILIO
5258,GTO17,12,1,EMBARQUE
5259,EM09,2,1,ENTREGA DOMICILIO
5260,DF01,1,1,ENTREGA DOMICILIO
5261,CHP03,6,1,ENTREGA DOMICILIO
5262,GR05,8,1,ENTREGA DOMICILIO
5263,CHP03,6,1,ENTREGA DOMICILIO
5264,VER13,11,1,ENTREGA DOMICILIO
5265,COA05,27,1,ENTREGA DOMICILIO
5266,GTO14,12,1,ENTREGA DOMICILIO
5267,YU01,16,1,ENTREGA DOMICILIO
5268,VER07,11,1,ENTREGA DOMICILIO
5269,NL03,4,1,ENTREGA DOMICILIO
5270,BCN03,22,1,EMBARQUE
5271,SIN01,20,1,ENTREGA DOMICILIO
5272,JA13,3,1,ENTREGA DOMICILIO
5273,SON05,15,1,ENTREGA DOMICILIO
