ArticuloID,Descripcion,Articulo_Tipo,Articulo_Grupo,Articulo_Clase,Precio
10312887,MOTOVENT VENTURE / AZTEC 01-03 COMPLETO,MOTOVENTILADORES,CHEVROLET,MEXICO,4600
115-1101L,FARO SENTRA 2000 LISO C/AJUSTES IZQ,FAROS,NISSAN,TAIWAN,550
115-1101R,FARO SENTRA 2000 LISO C/AJUSTES DER,FAROS,NISSAN,TAIWAN,550
115-1501L,CUARTO PUNTA SENTRA 2000 CRISTAL IZQ,CUARTOS,NISSAN,TAIWAN,160
115-1501R,CUARTO PUNTA SENTRA 2000 CRISTAL DER,CUARTOS,NISSAN,TAIWAN,160
12362571,MOTOVENT MALIBU 97-03 P/ A/A COMPLETO,MOTOVENTILADORES,CHEVROLET,TAIWAN,3800
12367291,MOTOVENT VENTURE 99-00 COMPLETO,MOTOVENTILADORES,CHEVROLET,TAIWAN,3800
12472769,BISAGRA COFRE CHEV PU 99-02 S/ESPIRAL IZQ,BISAGRAS DE COFRE,CHEVROLET,TAIWAN,250
12472770,BISAGRA COFRE CHEV PU 99-02 S/ESPIRAL DER,BISAGRAS DE COFRE,CHEVROLET,TAIWAN,250
12474012,BRAZO DEF DEL CHEV PU 99-02 INTERIOR DER,BRAZOS DE DEFENSA,CHEVROLET,TAIWAN,300
12474013,BRAZO DEF DEL CHEV PU 99-02 INTERIOR IZQ,BRAZOS DE DEFENSA,CHEVROLET,TAIWAN,300
14000081,MOLD INF PARR CHEV PU 79-80 ANCHA,MOLDURAS,CHEVROLET,TAIWAN,300
14021253,BISAGRA COFRE CHEV PU 81-91 C/ESPIRAL IZQ,BISAGRAS DE COFRE,CHEVROLET,TAIWAN,200
14021254,BISAGRA COFRE CHEV PU 81-91 C/ESPIRAL DER,BISAGRAS DE COFRE,CHEVROLET,TAIWAN,200
14022805,MOLD ARCO SALP CHEV PU 81-91 IZQ,MOLDURAS,CHEVROLET,TAIWAN,150
14022806,MOLD ARCO SALP CHEV PU 81-91 DER,MOLDURAS,CHEVROLET,TAIWAN,150
14027431,ELEV CRISTAL CHEV PU / SUBURBAN 73-91 IZQ,ELEVADORES DE CRISTAL,CHEVROLET,TAIWAN,280
14027432,ELEV CRISTAL CHEV PU / SUBURBAN 73-91 DER,ELEVADORES DE CRISTAL,CHEVROLET,TAIWAN,280
14030523,BISAGRA COFRE S-10 82-94 IZQ,BISAGRAS DE COFRE,CHEVROLET,TAIWAN,200
14030524,BISAGRA COFRE S-10 82-94 DER,BISAGRAS DE COFRE,CHEVROLET,TAIWAN,200
14033613,MOLD ARCO TRAS S-10 82-94 IZQ,MOLDURAS,CHEVROLET,TAIWAN,150
14033614,MOLD ARCO TRAS S-10 82-94 DER,MOLDURAS,CHEVROLET,TAIWAN,150
14033615,MOLD ARCO SALP S-10 82-94 IZQ,MOLDURAS,CHEVROLET,TAIWAN,150
14033616,MOLD ARCO SALP S-10 82-94 DER,MOLDURAS,CHEVROLET,TAIWAN,150
14043823,BISAGRA COFRE CHEV PU 81-91 S/ESPIRAL IZQ,BISAGRAS DE COFRE,CHEVROLET,TAIWAN,200
14043824,BISAGRA COFRE CHEV PU 81-91 S/ESPIRAL DER,BISAGRAS DE COFRE,CHEVROLET,TAIWAN,200
14064637,BRAZO DEF DEL CHEV PU 81-91 CORTO IZQ,BRAZOS DE DEFENSA,CHEVROLET,TAIWAN,150
14064638,BRAZO DEF DEL CHEV PU 81-91 CORTO DER,BRAZOS DE DEFENSA,CHEVROLET,TAIWAN,150
15035591,BISAGRA COFRE CHEV PU 99-02 C/ESPIRAL IZQ,BISAGRAS DE COFRE,CHEVROLET,TAIWAN,300
15035592,BISAGRA COFRE CHEV PU 99-02 C/ESPIRAL DER,BISAGRAS DE COFRE,CHEVROLET,TAIWAN,300
15088328,TOLVA RAD SUBURBAN 00-03 SUPERIOR,TOLVAS DE RADIADOR,CHEVROLET,TAIWAN,600
15088329,TOLVA RAD CHEV PU 99-03 4.3L SUPERIOR,TOLVAS DE RADIADOR,CHEVROLET,TAIWAN,600
15164394,TOLVA RAD SUBURBAN 00-03 INFERIOR,TOLVAS DE RADIADOR,CHEVROLET,TAIWAN,600
15546443,MOLD ARCO SALP CHEV PU 92-98 IZQ,MOLDURAS,CHEVROLET,TAIWAN,150
15546444,MOLD ARCO SALP CHEV PU 92-98 DER,MOLDURAS,CHEVROLET,TAIWAN,150
15546459,MOLD ARCO TRAS CHEV PU 92-98 IZQ,MOLDURAS,CHEVROLET,TAIWAN,150
15546460,MOLD ARCO TRAS CHEV PU 92-98 DER,MOLDURAS,CHEVROLET,TAIWAN,150
15560553,TOLVA RAD S-10 82-94 4 CIL SUP,TOLVAS DE RADIADOR,CHEVROLET,TAIWAN,400
15560554,TOLVA RAD S-10 82-94 4 CIL INF,TOLVAS DE RADIADOR,CHEVROLET,TAIWAN,400
15590207,BRAZO DEF DEL S-10 82-94 CORTO IZQ,BRAZOS DE DEFENSA,CHEVROLET,TAIWAN,150
15590208,BRAZO DEF DEL S-10 82-94 CORTO DER,BRAZOS DE DEFENSA,CHEVROLET,TAIWAN,150
15593227,MOLD LAT PARR CHEV PU 83-88 C IZQ,MOLDURAS,CHEVROLET,TAIWAN,200
15593228,MOLD LAT PARR CHEV PU 83-88 C DER,MOLDURAS,CHEVROLET,TAIWAN,200
15594897,MOLD INF PARR CHEV PU 83-88,MOLDURAS,CHEVROLET,TAIWAN,150
15594898,MOLD SUP PARR CHEV PU 83-88,MOLDURAS,CHEVROLET,TAIWAN,150
15602558,TOLVA RAD S-10 82-94 6 CIL INF,TOLVAS DE RADIADOR,CHEVROLET,TAIWAN,350
15603561,TOLVA RAD CHEV PU 92-98 6 CIL INF,TOLVAS DE RADIADOR,CHEVROLET,TAIWAN,400
15606577,BRAZO DEF DEL CHEV PU 81-91 LARGO IZQ,BRAZOS DE DEFENSA,CHEVROLET,TAIWAN,200
