Folio,ClienteID,VendedorID,TimeID
A004088,NO PROPORCIONADO,NO PROPORCIONADO,20160831
A004089,NO PROPORCIONADO,NO PROPORCIONADO,20161006
A004090,NO PROPORCIONADO,NO PROPORCIONADO,20191205
A004091,NO PROPORCIONADO,NO PROPORCIONADO,20220426
A004092,NO PROPORCIONADO,NO PROPORCIONADO,20150629
A004093,NO PROPORCIONADO,NO PROPORCIONADO,20150501
A004094,NO PROPORCIONADO,NO PROPORCIONADO,20150430
A004095,NO PROPORCIONADO,NO PROPORCIONADO,20150823
A004096,NO PROPORCIONADO,NO PROPORCIONADO,20140521
A004097,NO PROPORCIONADO,NO PROPORCIONADO,20220521
A004098,NO PROPORCIONADO,NO PROPORCIONADO,20170226
A004099,NO PROPORCIONADO,NO PROPORCIONADO,20220124
A004100,NO PROPORCIONADO,NO PROPORCIONADO,20210913
A004101,NO PROPORCIONADO,NO PROPORCIONADO,20150703
A004102,NO PROPORCIONADO,NO PROPORCIONADO,20191116
A004103,NO PROPORCIONADO,NO PROPORCIONADO,20160914
A004104,NO PROPORCIONADO,NO PROPORCIONADO,20221008
A004105,NO PROPORCIONADO,NO PROPORCIONADO,20190707
A004106,NO PROPORCIONADO,NO PROPORCIONADO,20190331
A004107,NO PROPORCIONADO,NO PROPORCIONADO,20170422
A004108,NO PROPORCIONADO,NO PROPORCIONADO,20180716
A004109,NO PROPORCIONADO,NO PROPORCIONADO,20190808
A004110,NO PROPORCIONADO,NO PROPORCIONADO,20190320
A004111,NO PROPORCIONADO,NO PROPORCIONADO,20220306
A004112,NO PROPORCIONADO,NO PROPORCIONADO,20200122
A004113,NO PROPORCIONADO,NO PROPORCIONADO,20211114
A004114,NO PROPORCIONADO,NO PROPORCIONADO,20141216
A004115,NO PROPORCIONADO,NO PROPORCIONADO,20160604
A004116,NO PROPORCIONADO,NO PROPORCIONADO,20201111
A004117,NO PROPORCIONADO,NO PROPORCIONADO,20201130
A004118,NO PROPORCIONADO,NO PROPORCIONADO,20190117
A004119,NO PROPORCIONADO,NO PROPORCIONADO,20190124
A004120,NO PROPORCIONADO,NO PROPORCIONADO,20160909
A004121,NO PROPORCIONADO,NO PROPORCIONADO,20170313
A004122,NO PROPORCIONADO,NO PROPORCIONADO,20140218
A004123,NO PROPORCIONADO,NO PROPORCIONADO,20190911
A004124,NO PROPORCIONADO,NO PROPORCIONADO,20181006
A004125,NO PROPORCIONADO,NO PROPORCIONADO,20170111
A004126,NO PROPORCIONADO,NO PROPORCIONADO,20170226
A004127,NO PROPORCIONADO,NO PROPORCIONADO,20151118
A004128,0059,3,20210316
A004129,5214,4,20160917
A004130,5214,4,20210422
A004131,0059,3,20200606
A004132,5088,4,20190529
A004133,5063,8,20190418
A004134,5061,8,20190303
A004135,5002,8,20181206
A004136,5210,8,20160403
A004137,5064,8,20170712
A004138,5074,8,20220610
A004139,5693,8,20200519
A004140,5180,8,20201201
A004141,5082,2,20150811
A004142,5124,1,20171203
A004143,0011,3,20210410
A004144,0107,1,20170426
A004145,5107,1,20180509
A004146,5024,9,20140330
A004147,5017,9,20180108
A004148,5851,5,20170305
A004149,5669,6,20221207
A004150,5107,1,20140707
A004151,5031,8,20190227
A004152,5024,9,20161124
A004153,5017,9,20161227
A004154,5851,5,20180922
A004155,5669,6,20180208
A004156,5107,1,20190208
A004157,5031,8,20220709
A004158,5107,1,20150810
A004159,5409,8,20201211
A004160,5853,2,20150924
A004161,5223,1,20200125
A004162,5028,4,20170303
A004163,5669,6,20140115
A004164,5091,1,20181119
A004165,5134,1,20150323
A004166,5641,1,20190901
A004167,0007,3,20140306
A004168,5649,5,20220826
A004169,5230,8,20161015
A004170,0034,3,20170101
A004171,0032,4,20181005
A004172,0043,4,20210210
A004173,0007,3,20210501
A004174,0007,3,20210909
A004175,0083,3,20170130
A004176,0089,3,20190725
A004177,5001,7,20190425
A004178,5325,1,20200202
A004179,5780,1,20210802
A004180,5088,4,20180805
A004181,5364,8,20181014
A004182,5074,8,20191231
A004183,5204,8,20140225
A004184,5661,1,20190507
A004185,0105,3,20161206
A004186,NO PROPORCIONADO,NO PROPORCIONADO,20220402
A004187,0105,3,20191116
A004188,NO PROPORCIONADO,NO PROPORCIONADO,20210202
A004189,NO PROPORCIONADO,NO PROPORCIONADO,20210606
A004190,NO PROPORCIONADO,NO PROPORCIONADO,20190821
A004191,0105,3,20221030
A004192,0105,3,20221003
A004193,0002,3,20191103
A004194,5780,1,20200301
A004195,0105,3,20210826
A004196,NO PROPORCIONADO,NO PROPORCIONADO,20150413
A004197,NO PROPORCIONADO,NO PROPORCIONADO,20221220
A004198,NO PROPORCIONADO,NO PROPORCIONADO,20220319
A004199,NO PROPORCIONADO,NO PROPORCIONADO,20160111
A004200,NO PROPORCIONADO,NO PROPORCIONADO,20150125
A004201,NO PROPORCIONADO,NO PROPORCIONADO,20210903
A004202,NO PROPORCIONADO,NO PROPORCIONADO,20140218
A004203,NO PROPORCIONADO,NO PROPORCIONADO,20140523
A004204,NO PROPORCIONADO,NO PROPORCIONADO,20211011
A004205,5024,9,20221006
A004206,5024,9,20210619
A004207,5187,7,20220510
A004208,5221,7,20140824
A004209,5214,4,20180406
A004210,NO PROPORCIONADO,NO PROPORCIONADO,20210614
A004211,NO PROPORCIONADO,NO PROPORCIONADO,20140911
A004212,0112,0,20150217
A004213,NO PROPORCIONADO,NO PROPORCIONADO,20190204
A004214,NO PROPORCIONADO,NO PROPORCIONADO,20151011
A004215,NO PROPORCIONADO,NO PROPORCIONADO,20180415
A004216,NO PROPORCIONADO,NO PROPORCIONADO,20200731
A004217,NO PROPORCIONADO,NO PROPORCIONADO,20200421
A004218,NO PROPORCIONADO,NO PROPORCIONADO,20180519
A004219,NO PROPORCIONADO,NO PROPORCIONADO,20171125
A004220,NO PROPORCIONADO,NO PROPORCIONADO,20150916
A004221,NO PROPORCIONADO,NO PROPORCIONADO,20200302
A004222,NO PROPORCIONADO,NO PROPORCIONADO,20140908
A004223,NO PROPORCIONADO,NO PROPORCIONADO,20220504
A004224,NO PROPORCIONADO,NO PROPORCIONADO,20210622
A004225,0083,3,20180130
A004226,NO PROPORCIONADO,NO PROPORCIONADO,20140107
A004227,0107,4,20180617
A004228,0083,3,20200727
A004229,5583,6,20171222
A004230,5419,4,20170418
A004231,5112,1,20191127
A004232,0007,3,20150819
A004233,0106,3,20190204
A004234,NO PROPORCIONADO,NO PROPORCIONADO,20201123
A004235,NO PROPORCIONADO,NO PROPORCIONADO,20180320
A004236,NO PROPORCIONADO,NO PROPORCIONADO,20170927
A004237,NO PROPORCIONADO,NO PROPORCIONADO,20221023
A004238,5291,4,20220609
A004239,5226,7,20211017
A004240,5226,7,20140117
A004241,0010,3,20150914
A004242,5029,7,20141111
A004243,5210,8,20210310
A004244,5097,1,20200918
A004245,5020,8,20160122
A004246,5777,7,20170219
A004247,5039,7,20170401
A004248,5100,1,20190718
A004249,5638,1,20150822
A004250,5050,7,20140807
A004251,5421,6,20150130
A004252,5479,6,20161207
A004253,5134,1,20160707
A004254,5465,6,20201229
A004255,5245,7,20150422
A004256,5307,4,20140109
A004257,5245,7,20190125
A004258,5253,1,20220409
A004259,5065,8,20221104
A004260,5201,2,20150930
A004261,5603,4,20140429
A004262,5378,4,20181125
A004263,5187,7,20160828
A004264,5054,2,20201004
A004265,5013,7,20181128
A004266,5011,7,20141214
A004267,5056,8,20200811
A004268,5020,8,20220225
A004269,5031,8,20200217
A004270,5272,8,20210517
A004271,5286,1,20190301
A004272,5241,7,20201220
A004273,5673,6,20201101
A004274,5720,6,20190704
A004275,5075,8,20150313
A004276,5099,7,20140124
A004277,5099,7,20221102
A004278,5057,2,20200319
A004279,5219,1,20150110
A004280,5174,8,20171113
A004281,5818,1,20140530
A004282,NO PROPORCIONADO,NO PROPORCIONADO,20180224
A004283,NO PROPORCIONADO,NO PROPORCIONADO,20150915
A004284,NO PROPORCIONADO,NO PROPORCIONADO,20161204
A004285,NO PROPORCIONADO,NO PROPORCIONADO,20140322
A004286,NO PROPORCIONADO,NO PROPORCIONADO,20160127
A004287,5669,6,20160408
A004288,5014,7,20201224
A004289,5062,7,20210208
A004290,5421,6,20201006
A004291,5040,7,20211125
A004292,5183,2,20140624
A004293,5046,7,20160820
A004294,5038,2,20211108
A004295,5034,8,20180409
A004296,5031,8,20171031
A004297,5687,4,20151206
A004298,5621,1,20200724
A004299,5036,2,20210414
A004300,5053,2,20220123
A004301,NO PROPORCIONADO,NO PROPORCIONADO,20160219
A004302,5082,2,20190826
A004303,5555,4,20141105
A004304,5063,8,20220327
A004305,5210,8,20180130
A004306,5080,2,20200107
A004307,NO PROPORCIONADO,NO PROPORCIONADO,20190310
A004308,NO PROPORCIONADO,NO PROPORCIONADO,20160728
A004309,NO PROPORCIONADO,NO PROPORCIONADO,20150704
A004310,NO PROPORCIONADO,NO PROPORCIONADO,20180812
A004311,0105,3,20210831
A004312,5213,8,20220121
A004313,5176,8,20191116
A004314,5440,9,20190219
A004315,5093,7,20200809
A004316,5093,7,20171231
A004317,5291,4,20190809
A004318,NO PROPORCIONADO,NO PROPORCIONADO,20180719
A004319,0008,3,20200831
A004320,0008,3,20150903
A004321,5234,1,20160319
A004322,5034,8,20140319
A004323,5130,1,20190313
A004324,5044,2,20180723
A004325,5132,1,20161103
A004326,5036,2,20140617
A004327,5013,7,20160920
A004328,5453,1,20150114
A004329,5223,1,20201111
A004330,5223,1,20160813
A004331,5223,1,20140917
A004332,5053,2,20200626
A004333,5603,4,20160128
A004334,5650,2,20160610
A004335,5409,8,20140404
A004336,5020,8,20220306
A004337,5050,7,20140506
A004338,5333,4,20220916
A004339,0007,3,20220825
A004340,0007,3,20181115
A004341,0025,3,20160525
A004342,NO PROPORCIONADO,NO PROPORCIONADO,20180827
A004343,0105,3,20181213
A004344,5260,8,20200816
A004345,0116,3,20170730
A004346,NO PROPORCIONADO,NO PROPORCIONADO,20191203
A004347,NO PROPORCIONADO,NO PROPORCIONADO,20211030
A004348,NO PROPORCIONADO,NO PROPORCIONADO,20210806
A004349,0006,3,20191019
A004350,5176,8,20180804
A004351,5053,2,20200121
A004352,5777,7,20161125
A004353,5248,1,20170622
A004354,5029,7,20140917
A004355,5195,7,20200521
A004356,5119,7,20160510
A004357,5760,8,20180718
A004358,5481,8,20160202
A004359,5094,1,20200428
A004360,5638,1,20150902
A004361,5040,7,20200227
A004362,5050,7,20180708
A004363,5050,7,20160102
A004364,5050,7,20160502
A004365,5050,7,20140608
A004366,5029,7,20170824
A004367,5638,1,20190215
A004368,NO PROPORCIONADO,NO PROPORCIONADO,20200320
A004369,0007,3,20160116
A004370,5861,6,20180301
A004371,5130,1,20180402
A004372,5135,1,20151022
A004373,5217,1,20160203
A004374,5223,1,20201216
A004375,5223,1,20140901
A004376,5018,7,20190425
A004377,5088,4,20140217
A004378,0089,3,20221103
A004379,5040,7,20160209
A004380,5050,7,20210214
A004381,NO PROPORCIONADO,NO PROPORCIONADO,20180622
A004382,5187,7,20140221
A004383,NO PROPORCIONADO,NO PROPORCIONADO,20180921
A004384,NO PROPORCIONADO,NO PROPORCIONADO,20190817
A004385,0007,3,20171113
A004386,5234,1,20190624
A004387,0007,3,20180112
A004388,5793,9,20140805
A004389,5852,6,20190504
A004390,5001,7,20210603
A004391,5208,2,20150420
A004392,5020,8,20171011
A004393,5210,8,20220722
A004394,5112,1,20200422
A004395,5113,8,20150311
A004396,5784,1,20181121
A004397,5780,1,20190518
A004398,5556,5,20220303
A004399,5093,7,20210302
A004400,5099,7,20200408
A004401,5075,8,20170710
A004402,5333,4,20200405
A004403,5640,8,20220609
A004404,5034,8,20140930
A004405,5031,8,20190619
A004406,5245,7,20170625
A004407,5013,7,20181103
A004408,5147,7,20150303
A004409,5673,6,20190116
A004410,5252,8,20210325
A004411,5237,1,20160425
A004412,5262,1,20140629
A004413,5325,1,20201214
A004414,5452,6,20220712
A004415,5452,6,20180216
A004416,0002,3,20190511
A004417,NO PROPORCIONADO,NO PROPORCIONADO,20210929
A004418,5230,8,20180926
A004419,5039,7,20220811
A004420,NO PROPORCIONADO,NO PROPORCIONADO,20200827
A004421,5026,2,20211020
A004422,5026,2,20190326
A004423,5026,2,20220629
A004424,5307,4,20201013
A004425,5057,2,20160710
A004426,5057,2,20140515
A004427,5119,7,20210511
A004428,5204,8,20190421
A004429,NO PROPORCIONADO,NO PROPORCIONADO,20200714
A004430,NO PROPORCIONADO,NO PROPORCIONADO,20221228
A004431,NO PROPORCIONADO,NO PROPORCIONADO,20180915
A004432,5159,7,20160822
A004433,5161,7,20200122
A004434,5673,6,20180805
A004435,NO PROPORCIONADO,NO PROPORCIONADO,20140607
A004436,NO PROPORCIONADO,NO PROPORCIONADO,20160810
A004437,NO PROPORCIONADO,NO PROPORCIONADO,20161223
A004438,NO PROPORCIONADO,NO PROPORCIONADO,20190720
A004439,5735,7,20200626
A004440,5241,7,20210703
A004441,5159,7,20190429
A004442,0032,4,20210217
A004443,NO PROPORCIONADO,NO PROPORCIONADO,20220705
A004444,NO PROPORCIONADO,NO PROPORCIONADO,20200319
A004445,NO PROPORCIONADO,NO PROPORCIONADO,20180405
A004446,NO PROPORCIONADO,NO PROPORCIONADO,20210327
A004447,NO PROPORCIONADO,NO PROPORCIONADO,20160804
A004448,NO PROPORCIONADO,NO PROPORCIONADO,20140826
A004449,0007,3,20160915
A004450,5081,2,20150429
A004451,5001,7,20201126
A004452,5818,1,20150322
A004453,5396,4,20151210
A004454,5316,4,20160529
A004455,5062,7,20200416
A004456,5062,7,20190423
A004457,NO PROPORCIONADO,NO PROPORCIONADO,20200209
A004458,0007,3,20180806
A004459,0008,3,20171104
A004460,5852,6,20190102
A004461,5852,6,20220723
A004462,5852,6,20180322
A004463,5852,6,20210928
A004464,5852,6,20180308
A004465,5852,6,20220206
A004466,5852,6,20181115
A004467,5852,6,20150207
A004468,5852,6,20220323
A004469,5852,6,20160110
A004470,5852,6,20211215
A004471,5852,6,20200710
A004472,5852,6,20151111
A004473,5852,6,20220916
A004474,5852,6,20160715
A004475,5852,6,20191227
A004476,5852,6,20160308
A004477,5852,6,20220605
A004478,5852,6,20160911
A004479,5852,6,20180401
A004480,5852,6,20191111
A004481,5852,6,20180602
A004482,5852,6,20191205
A004483,5852,6,20160317
A004484,5852,6,20191202
A004485,5852,6,20180811
A004486,5852,6,20210924
A004487,5852,6,20140127
A004488,5852,6,20210808
A004489,5852,6,20221030
A004490,5852,6,20160616
A004491,5852,6,20140105
A004492,5852,6,20180912
A004493,5852,6,20141101
A004494,5852,6,20181218
A004495,5852,6,20171225
A004496,5852,6,20150831
A004497,5852,6,20180302
A004498,NO PROPORCIONADO,NO PROPORCIONADO,20150217
A004499,NO PROPORCIONADO,NO PROPORCIONADO,20211031
A004500,NO PROPORCIONADO,NO PROPORCIONADO,20200908
A004501,NO PROPORCIONADO,NO PROPORCIONADO,20140914
A004502,NO PROPORCIONADO,NO PROPORCIONADO,20221014
A004503,NO PROPORCIONADO,NO PROPORCIONADO,20140103
A004504,NO PROPORCIONADO,NO PROPORCIONADO,20221007
A004505,NO PROPORCIONADO,NO PROPORCIONADO,20180131
A004506,NO PROPORCIONADO,NO PROPORCIONADO,20150703
A004507,5453,1,20220825
A004508,5134,1,20160414
A004509,5130,1,20170501
A004510,5090,8,20150618
A004511,5223,1,20220920
A004512,5210,8,20150524
A004513,5226,7,20210421
A004514,5223,1,20140415
A004515,5223,1,20140906
A004516,5223,1,20210622
A004517,5223,1,20140712
A004518,5223,1,20170115
A004519,NO PROPORCIONADO,NO PROPORCIONADO,20190723
A004520,5093,7,20180302
A004521,5124,1,20160730
A004522,5081,2,20160207
A004523,5777,7,20221209
A004524,5001,7,20220325
A004525,5001,7,20220416
A004526,0007,3,20180909
A004527,0105,3,20200129
A004528,0107,4,20220828
A004529,0107,4,20190128
A004530,9999,0,20190723
A004531,5013,7,20141202
A004532,5819,5,20210322
A004533,5213,8,20140717
A004534,5819,5,20220813
A004535,5096,7,20180908
A004536,5147,7,20220808
A004537,5245,7,20160416
A004538,5841,7,20150101
A004539,5330,4,20200717
A004540,5267,0,20190418
A004541,5781,7,20140119
A004542,5421,6,20180910
A004543,5183,2,20141027
A004544,5001,7,20160720
A004545,5302,4,20160605
A004546,5660,2,20220312
A004547,NO PROPORCIONADO,NO PROPORCIONADO,20220325
A004548,NO PROPORCIONADO,NO PROPORCIONADO,20190728
A004549,NO PROPORCIONADO,NO PROPORCIONADO,20220602
A004550,NO PROPORCIONADO,NO PROPORCIONADO,20190214
A004551,NO PROPORCIONADO,NO PROPORCIONADO,20201015
A004552,5075,8,20140106
A004553,5225,8,20141208
A004554,5134,1,20140902
A004555,5132,1,20170525
A004556,5131,1,20190123
A004557,5223,1,20200606
A004558,5074,8,20210615
A004559,5467,5,20170510
A004560,5225,8,20191023
A004561,5214,4,20191009
A004562,5272,8,20190915
A004563,5063,8,20210303
A004564,0120,0,20160508
A004565,5455,6,20200129
A004566,5291,4,20190602
A004567,5650,2,20150418
A004568,0106,3,20160224
A004569,NO PROPORCIONADO,NO PROPORCIONADO,20220203
A004570,5002,8,20151223
A004571,5002,8,20180701
A004572,5002,8,20200407
A004573,5029,7,20200324
A004574,5002,8,20160130
A004575,5002,8,20150305
A004576,0002,3,20161010
A004577,NO PROPORCIONADO,NO PROPORCIONADO,20160530
A004578,5036,2,20150523
A004579,5509,1,20151016
A004580,5509,1,20220426
A004581,NO PROPORCIONADO,NO PROPORCIONADO,20200925
A004582,5057,2,20171020
A004583,5128,2,20160502
A004584,0007,3,20170606
A004585,NO PROPORCIONADO,NO PROPORCIONADO,20140628
A004586,5603,4,20170720
A004587,5053,2,20200810
A004588,5253,1,20141023
A004589,NO PROPORCIONADO,NO PROPORCIONADO,20171225
A004590,5230,8,20180727
A004591,5793,9,20190928
A004592,5669,6,20170809
A004593,5689,4,20221207
A004594,5155,1,20220124
A004595,5193,2,20210209
A004596,5088,4,20180618
A004597,5790,9,20150623
A004598,5851,5,20140131
A004599,5074,8,20210727
A004600,5064,8,20190304
A004601,5308,4,20190727
A004602,5210,8,20161230
A004603,5509,1,20180111
A004604,5509,1,20190419
A004605,5509,1,20201208
A004606,5509,1,20181206
A004607,5018,7,20160422
A004608,5509,1,20140508
A004609,NO PROPORCIONADO,NO PROPORCIONADO,20200306
A004610,NO PROPORCIONADO,NO PROPORCIONADO,20200721
A004611,0002,3,20160705
A004612,5017,9,20171204
A004613,5186,7,20140113
A004614,0007,3,20210217
A004615,0105,3,20170330
A004616,NO PROPORCIONADO,NO PROPORCIONADO,20140210
A004617,0105,3,20151012
A004618,5020,8,20150519
A004619,5272,8,20150512
A004620,5234,1,20160729
